1,63727,3,1
2,63726,3,2
3,63723,5,3
4,63722,5,4
5,63720,6,5
6,63717,8,6
7,63713,10,8
8,63712,10,9
9,63709,12,10
10,63708,12,11
11,63707,12,12
13,63702,14,15
14,63698,17,16
16,63694,19,18
18,63691,19,21
20,63687,21,23
22,63682,24,25
25,63675,26,30
28,63663,35,33
31,63658,37,36
34,63653,38,40
38,63643,44,44
43,63632,50,49
48,63621,54,56
54,63614,55,62
60,63606,57,68
67,63597,59,75
75,63584,64,83
84,63572,66,93
93,63562,67,102
104,63540,76,115
116,63517,86,128
130,63496,93,142
145,63477,96,158
162,63452,103,176
181,63426,108,197
202,63397,114,220
226,63361,123,247
252,63294,158,279
282,63254,167,310
315,63208,177,346
352,63158,186,387
393,63097,197,437
439,63034,211,486
490,62964,229,538
548,62879,244,608
612,62770,281,680
683,62655,301,775
763,62539,321,871
852,62399,348,984
952,62225,379,1127
1064,62022,425,1284
1188,61806,459,1466
1327,61536,499,1696
1482,61219,554,1958
1655,60802,631,2298
1849,60365,702,2664
2065,59860,764,3107
2307,59276,827,3628
2577,58642,906,4183
2878,57900,1002,4829
3215,57024,1115,5592
3591,56058,1247,6426
4011,55027,1392,7312
4480,53839,1580,8312
5004,52488,1746,9497
5590,51003,1905,10823
6244,49508,2103,12120
6974,47770,2371,13590
7790,45851,2640,15240
8701,43847,2876,17008
9719,41688,3221,18822
10856,39265,3558,20908
12125,36599,3936,23196
13544,33989,4259,25483
15128,31177,4619,27935
16898,28072,5063,30596
18874,24970,5507,33254
21082,21894,5833,36004
23548,18890,6151,38690
26303,15833,6582,41316
29380,12948,6895,43888
32816,10339,7095,46297
36655,7768,7287,48676
40943,5556,7500,50675
45732,3620,7616,52495
51082,1730,7347,54654
57057,200,6474,57057
63731,0,0,63731
